,name,from,to,biography,biography_eng,url,bishop_type,orig_url_page
0,"Johann Philipp von Schönborn
",1647,1673,,,https://de.wikipedia.org/wiki/Datei:Johann_Philipp_von_Schoenborn.jpg,1,Liste_der_Bischöfe_von_Mainz
1,"Lothar Friedrich von Metternich-Burscheid
",1673,1675,,,https://de.wikipedia.org/wiki/Datei:Lothar_Friedrich_von_Metternich.jpg,1,Liste_der_Bischöfe_von_Mainz
2,"Damian Hartard von der Leyen
",1675,1678,,,https://de.wikipedia.org/wiki/Datei:Damian_Hartard_von_der_Leyen-Hohengeroldseck.jpg,1,Liste_der_Bischöfe_von_Mainz
3,"Karl Heinrich von Metternich-Winneburg
",1679,1679,,,https://de.wikipedia.org/wiki/Datei:Karl_Heinrich_von_Metternich-Winneburg.jpg,1,Liste_der_Bischöfe_von_Mainz
4,"Anselm Franz von Ingelheim
",1679,1695,,,https://de.wikipedia.org/wiki/Datei:Bischof_Anselm_Franz_v._Ingelheim.jpg,1,Liste_der_Bischöfe_von_Mainz
5,"Lothar Franz von Schönborn
",1695,1729,,,https://de.wikipedia.org/wiki/Datei:LotharFranzvonSchoenborn.jpg,1,Liste_der_Bischöfe_von_Mainz
6,"Franz Ludwig von Pfalz-Neuburg
",1729,1732,,,https://de.wikipedia.org/wiki/Datei:Franz_Ludwig_von_Pfalz-Neuburg.jpg,1,Liste_der_Bischöfe_von_Mainz
7,"Philipp Karl von Eltz
",1732,1743,,,https://de.wikipedia.org/wiki/Datei:Philipp_Karl_von_Eltz.jpg,1,Liste_der_Bischöfe_von_Mainz
8,"Johann Friedrich Karl von Ostein
",1743,1763,,,https://de.wikipedia.org/wiki/Datei:JohannFriedrichKarlvonOstein.jpg,1,Liste_der_Bischöfe_von_Mainz
9,"Emmerich Joseph von Breidbach zu Bürresheim
",1763,1774,,,https://de.wikipedia.org/wiki/Datei:Emmerich_Joseph_von_Breidbach_zu_Burresheim.jpg,1,Liste_der_Bischöfe_von_Mainz
10,"Friedrich Karl Joseph von Erthal
",1774,1802,,,https://de.wikipedia.org/wiki/Datei:Friedrich_Carl_von_Erthal.jpg,1,Liste_der_Bischöfe_von_Mainz
11,"Karl Theodor von Dalberg (nur rechtsrheinisch)
",1802,1803,,,https://de.wikipedia.org/wiki/Datei:KTDalberg.jpg,1,Liste_der_Bischöfe_von_Mainz
12,"Joseph Ludwig Colmar
",1802,1818,,,https://de.wikipedia.org/wiki/Datei:Joseph_Ludwig_Colmar.jpg,0,Liste_der_Bischöfe_von_Mainz
13,"Joseph Vitus Burg
",1830,1833,,,https://de.wikipedia.org/wiki/Datei:Joseph_Vitus_Burg.jpg,0,Liste_der_Bischöfe_von_Mainz
14,"Johann Jakob Humann
",1833,1834,,,https://de.wikipedia.org/wiki/Datei:Johann_Jakob_Humann_Stich_JS.jpg,0,Liste_der_Bischöfe_von_Mainz
15,"Peter Leopold Kaiser
",1834,1848,,,https://de.wikipedia.org/wiki/Datei:Peter_Leopold_Kaiser_1845_(IZ_05-100_E_Kretzschmar_%2B_ACR).jpg,0,Liste_der_Bischöfe_von_Mainz
16,"Wilhelm Emmanuel von Ketteler
",1850,1877,,,"https://de.wikipedia.org/wiki/Datei:Ketteler,_Wilhelm_Emanuel.jpg",0,Liste_der_Bischöfe_von_Mainz
17,"Paul Leopold Haffner
",1886,1899,,,https://de.wikipedia.org/wiki/Datei:Bischof_Dr._Haffner_MainzJS.jpg,0,Liste_der_Bischöfe_von_Mainz
18,"Heinrich Brück
",1899,1903,,,https://de.wikipedia.org/wiki/Datei:Bischof_Dr._Heinrich_Br%C3%BCck_3_JS.jpg,0,Liste_der_Bischöfe_von_Mainz
19,"Georg Heinrich Maria Kirstein
",1904,1921,,,https://de.wikipedia.org/wiki/Datei:Bischof_Heinrich_Maria_Kirstein_JS.jpg,0,Liste_der_Bischöfe_von_Mainz
20,"Ludwig Maria Hugo
",1921,1935,,,https://de.wikipedia.org/wiki/Datei:Bischof_Hugo_Mainz.jpg,0,Liste_der_Bischöfe_von_Mainz
21,"Albert Stohr
",1935,1961,,,https://de.wikipedia.org/wiki/Datei:Bischof_Albert_Stohr_auf_dem_Bodensee_-_Foto_Leonhard_Veith_August_1959.jpg,0,Liste_der_Bischöfe_von_Mainz
22,Hermann Volk (seit 1973 Kardinal),1962,1982,,,https://de.wikipedia.org/wiki/Datei:Hermann_Kardinal_Volk.jpg,0,Liste_der_Bischöfe_von_Mainz
23,Karl Lehmann (seit 2001 Kardinal),1983,2016,,,https://de.wikipedia.org/wiki/Datei:Verleihung_des_Europ%C3%A4ischen_Handwerkspreises_an_Karl_Kardinal_Lehmann-2159.jpg,0,Liste_der_Bischöfe_von_Mainz
24,"Peter Kohlgraf
",2017,"
",,,https://de.wikipedia.org/wiki/Datei:Bischof-kohlgraf-qu.jpg,0,Liste_der_Bischöfe_von_Mainz
25,Amand von Buseck,1737,1756,"Friedrich Franz Ludwig von Buseck OSB (* 2. Februar 1685 in Eppelborn; † 4. Dezember 1756 in Fulda) war unter dem Ordensnamen Amand von Buseck ab 1737 Fürstabt der Reichsabtei Fulda, ab 1752 der erste Fürstbischof in Fulda.
Amand von Buseck war der älteste Sohn von Philipp Franz Edmund von Buseck und dessen Gemahlin Maria Antonia Amalia, einer geborenen von Fechenbach. Sein Bruder Johann Christoph von Buseck war Deutschordenskomtur in Horneck, sein Neffe Christoph Franz von Buseck der letzte Fürstbischof von Bamberg.
Von Buseck kam 1695 zu seinem Großonkel Bonifatius von Buseck nach Fulda. Er begann 1697 seine Studien am dortigen Jesuitengymnasium. 1700 wurde er Page des Abts Adalbert von Schleifras. 1704 trat er in das Stift Fulda ein und legte im Jahr darauf seine Profess ab. Um 1708/09 wurde er in Erfurt zum Priester geweiht.
1710 wurde von Buseck in das Kapitel des Stifts Fulda aufgenommen. Seine Wahl zum Stiftsdekan und damit auch zum Propst von Neuenberg erfolgte 1724. Papst Benedikt XIII. ernannte ihn 1728 zum Titularbischof von Themiscyra und Weihbischof in Fulda. 1736 wurde er Rector Magnificus der aus der Jesuitenhochschule neu gegründeten Universität Fulda. Ein Jahr später erfolgte seine Wahl zum Fürstabt von Fulda. Die Wahl wurde 1738 von Papst Clemens XII. bestätigt. 1739 erfolgte die kaiserliche Bestätigung der Regalien. Nach der Erhebung der Abtei Fulda zum Bistum Fulda wurde Amand von Buseck 1752 zum Fürstbischof ernannt.
Von Buseck unternahm nach Aufnahme in das Stift zahlreiche Reisen, so 1715 eine Studienreise nach Holland, Flandern, Paris, Lothringen und in das Elsass. Sein Interesse galt der Architektur, der Gartenkunst und der Genealogie. Im Staatsarchiv Marburg befindet sich im Nachlass von Busecks eine große Sammlung genealogischer Notizen zu verschiedenen Adelsgeschlechtern. Zudem hinterließ er Zeichnungen vieler Grabsteine, die heute einen unschätzbaren Fundus für Familienforscher darstellen.
Mit der Wahl zum Stiftsdekan wurde er verstärkt in die weltlichen Geschäfte des Stiftes eingebunden. Beim Antritt seines Amtes als Fürstabt übernahm er die Schulden seiner Vorgänger. Ein großes Verdienst von ihm ist die Konsolidierung dieser Schulden. Er förderte das Handwerk, und zahlreiche Manufakturgründungen gehen auf ihn zurück, so eine Fayencerie, die sich durch qualitativ hochwertige Fayencen mit porzellanartigem Charakter auszeichnete, eine Woll- und Stuckmanufaktur und eine Damastweberei. In Brückenau ließ er die Salzwasserquellen fassen und begründete so den Kurbetrieb.
Aufgrund seines Interesses an Architektur und seines zeichnerischen Geschicks hat von Buseck die Entwürfe seiner wichtigsten Bauvorhaben selbst gezeichnet. Zu den wichtigsten von ihm in Auftrag gegebenen Bauten zählt der Ausbau des Schlosses Fasanerie südlich von Fulda. Zahlreiche Pfarreien im Stiftsterritorium bekamen unter seiner Herrschaft ein neues Kirchengebäude oder eine Kirchenrenovierung, so St. Peter und Paul in Salmünster.
Von Buseck wirkte 1742 an der Krönungszeremonie der Kaiserin Maria Amalia von Österreich mit.
Die Stadt Fulda hat Amand von Buseck eine Straße gewidmet, in der sich die Musikschule Fulda befindet.","Friedrich Franz Ludwig of Buseck OSB (born February 2, 1685 in Eppelborn, † December 4, 1756 in Fulda) was under the religious name Amand von Buseck from 1737 prince abbot of the imperial abbey Fulda, from 1752 the first prince bishop in Fulda. Amand von Buseck was the eldest son of Philipp Franz Edmund von Buseck and his wife Maria Antonia Amalia, a native of Fechenbach. His brother Johann Christoph von Buseck was a Teutonic Order in Horneck, his nephew Christoph Franz von Buseck the last prince-bishop of Bamberg. Von Buseck came in 1695 to his great-uncle Boniface from Buseck to Fulda. He began his studies in 1697 at the local Jesuit grammar school. In 1700 he became page of the Abbot Adalbert von Schleifras. In 1704 he entered Fulda Abbey and made his profession the following year. Around 1708/09 he was ordained a priest in Erfurt. 1710 was taken by Buseck in the chapter of the Fulda Abbey. His election to the dean and thus also to the provost of Neuenberg was in 1724. Pope Benedict XIII. appointed him in 1728 Titular Bishop of Themiscyra and Auxiliary Bishop in Fulda. In 1736 he became Rector Magnificus of the newly founded University of Fulda from the Jesuit University. One year later he was elected prince-abbot of Fulda. The election was in 1738 by Pope Clement XII. approved. 1739 was the imperial confirmation of the regalia. After the collection of the Abbey Fulda to the diocese of Fulda Amand von Buseck 1752 was appointed prince bishop. From Buseck took after admission to the pen numerous trips, so in 1715 a study trip to Holland, Flanders, Paris, Lorraine and Alsace. He was interested in architecture, gardening and genealogy. In the State Archives Marburg is located in the estate of Busecks a large collection of genealogical notes on various noble families. In addition, he left drawings of many tombstones, which today represent an invaluable resource for family researchers. With the election to the dean&#39;s dean, he was increasingly involved in the secular business of the monastery. When he took office as prince-abbot he took over the debts of his predecessors. A big merit of him is the consolidation of these debts. He promoted the craft, and numerous manufactory foundations go back to him, so a faience, which was characterized by high-quality ceramics with porcelain-like character, a woolen and Stuckmanufaktur and a damask weaving. In Brueckenau he had the salt water sources summarize and thus founded the Kurbetrieb. Due to his interest in architecture and his graphic skills, von Buseck himself drew the designs of his most important building projects. One of the most important buildings commissioned by him is the extension of the Fasanerie Palace south of Fulda. Numerous parishes in the penal territory received a new church building or a church renovation under his rule, according to St. Peter and Paul in Salmünster. Von Buseck participated in 1742 at the coronation ceremony of Empress Maria Amalia of Austria. The city of Fulda has dedicated a street to Amand von Buseck, in which the music school Fulda is located.",https://de.wikipedia.org/wiki/Amand_von_Buseck,2,Liste_der_Äbte_und_Bischöfe_von_Fulda
